year,country_code,metric_code,mean,sd,lobound_10,upbound_90
2018,COD,express,2.829041481,0.546488941,2.129535675,3.528547287
2017,COD,physint,5.241752148,0.86332798,4.136692524,6.346811771
2018,COD,physint,5.602362156,0.863035679,4.497676373,6.707047939
2017,COD,polpart,1.945153952,0.229148179,1.651844263,2.23846364
2018,COD,polpart,1.945153952,0.229148179,1.651844263,2.23846364
2017,COD,tort,1.996301413,0.590522587,1.240432501,2.752170324
2018,COD,tort,1.787465811,0.605644345,1.012241006,2.562690496
2017,FJI,arrest,7.066701889,0.691053033,6.182154179,7.951249599
2018,FJI,arrest,7.066701889,0.691053033,6.182154179,7.951249599
2017,FJI,assem,4.201996326,0.055669334,4.130739689,4.273252964
2018,FJI,assem,4.182289124,0.147362247,3.993665457,4.370913029
2017,FJI,disap,8.339030266,0.027318852,8.30406189,8.373998642
2018,FJI,disap,8.339030266,0.027318852,8.30406189,8.373998642
2017,FJI,dpex,9.016949654,0.118320577,8.865499496,9.168399811
2018,FJI,dpex,9.016952515,0.118314914,8.865509033,9.168395996
2017,FJI,empower,3.714086294,0.803279698,2.68588829,4.742284298
2018,FJI,empower,3.731815815,0.808327258,2.697156906,4.766474724
2017,FJI,execution,8.317489624,0.499239475,7.678462982,8.956516266
2018,FJI,execution,8.317489624,0.499239475,7.678462982,8.956516266
2017,FJI,exkill,8.317489624,0.499239475,7.678462982,8.956516266
2018,FJI,exkill,8.317489624,0.499239475,7.678462982,8.956516266
2017,FJI,express,3.405056715,0.143770918,3.221029997,3.589083433
2018,FJI,express,3.41095686,0.144413471,3.226107597,3.595806122
2017,FJI,physint,7.348617077,0.840004027,6.273411751,8.423822403
2018,FJI,physint,7.320554256,0.844233036,6.239935875,8.401172638
2017,FJI,polpart,4.445227623,0.079234809,4.34380722,4.546648026
2018,FJI,polpart,4.445227623,0.079234809,4.34380722,4.546648026
2017,FJI,tort,3.64341855,0.308186859,3.248939276,4.037897587
2018,FJI,tort,3.651175022,0.312548637,3.2511127,4.051237106
2017,GBR,arrest,7.541473389,0.294127762,7.164989948,7.917956829
2018,GBR,arrest,7.541473389,0.294127762,7.164989948,7.917956829
2017,GBR,assem,7.204465389,0.072142281,7.112123489,7.296807289
2018,GBR,assem,7.204465389,0.072142281,7.112123489,7.296807289
2017,GBR,disap,8.692573547,0.140678063,8.512505531,8.872641563
2018,GBR,disap,8.692573547,0.140678063,8.512505531,8.872641563
2017,GBR,dpex,8.648530006,0.094494827,8.527576447,8.769483566
2018,GBR,dpex,8.648525238,0.094494782,8.527571678,8.769478798
2017,GBR,empower,6.97887373,0.827511549,5.919659138,8.038088799
2018,GBR,empower,6.967782497,0.834070921,5.900171757,8.035393715
2017,GBR,execution,8.41114521,0.21419701,8.136973381,8.685317039
2018,GBR,execution,8.41114521,0.21419701,8.136973381,8.685317039
2017,GBR,exkill,8.41114521,0.21419701,8.136973381,8.685317039
2018,GBR,exkill,8.41114521,0.21419701,8.136973381,8.685317039
2017,GBR,express,7.123519421,0.343657374,6.683638096,7.563400745
2018,GBR,express,7.123280048,0.343276709,6.683886051,7.562674046
2017,GBR,physint,7.722445011,0.841791272,6.644952297,8.799938202
2018,GBR,physint,7.726563931,0.837407947,6.654681683,8.798445702
2017,GBR,polpart,6.811470032,0.163864881,6.601723194,7.021216869
2018,GBR,polpart,6.811470032,0.163864881,6.601723194,7.021216869
2017,GBR,tort,7.708123684,0.468553841,7.108374596,8.307872772
2018,GBR,tort,7.754621506,0.47591415,7.145451546,8.363791466
2017,JOR,arrest,5.537216187,0.081635877,5.432722092,5.641710281
2018,JOR,arrest,6.650350571,0.034220736,6.606547832,6.694153309
2017,JOR,assem,6.181382179,0.402148277,5.666632175,6.696132183
2018,JOR,assem,6.181382179,0.402148277,5.666632175,6.696132183
2017,JOR,disap,7.473407745,0.533869565,6.790054798,8.156761169
2018,JOR,disap,7.473407745,0.533869565,6.790054798,8.156761169
2017,JOR,dpex,5.256073952,0.801510751,4.230140209,6.282007694
2018,JOR,dpex,5.898218155,0.940708458,4.694111347,7.102324963
2017,JOR,empower,4.479878426,0.932506323,3.28627038,5.67348671
2018,JOR,empower,4.502244473,0.888902426,3.364449263,5.640039444
2017,JOR,execution,5.256073952,0.801510751,4.230140209,6.282007694
2018,JOR,execution,5.898218155,0.940708458,4.694111347,7.102324963
2017,JOR,exkill,6.452766418,0.184963241,6.216013432,6.689519405
2018,JOR,exkill,6.981291771,0.343694121,6.541363239,7.421220303
2017,JOR,express,4.079370022,0.639312685,3.261049747,4.897690296
2018,JOR,express,3.958948612,0.500060499,3.31887126,4.599026203
2017,JOR,physint,5.992784977,0.821425855,4.941359997,7.044209957
2018,JOR,physint,6.425695896,0.830224454,5.363008499,7.488383293
2017,JOR,polpart,4.204315662,0.490224957,3.576827765,4.831803799
2018,JOR,polpart,4.375385761,0.261999279,4.040026665,4.710744858
2017,JOR,tort,3.952466965,0.651215911,3.118910551,4.78602314
2018,JOR,tort,5.421925545,0.935273468,4.224775314,6.619075775
2017,KAZ,arrest,2.536269903,0.233466104,2.237433195,2.835106611
2018,KAZ,arrest,2.576432943,0.216446191,2.299381733,2.853484154
2017,KAZ,assem,1.869428158,0.203035131,1.609543204,2.129313231
2018,KAZ,assem,1.869428158,0.203035131,1.609543204,2.129313231
2017,KAZ,disap,8.319708824,0.099178657,8.192760468,8.446657181
2018,KAZ,disap,8.319708824,0.099178657,8.192760468,8.446657181
2017,KAZ,dpex,8.950466156,0.088972144,8.836582184,9.064350128
