country_code,year,metric_code,mean,low,high,sd
AFG,2010,ldi,0.471,0.392,0.538,0.075
AFG,2010,pdi,0.276,0.222,0.343,0.06
AFG,2011,ddi,0.797,0.686,0.868,0.625
AFG,2011,edi,0.375,0.339,0.417,0.041
AFG,2011,egdi,0.481,0.397,0.584,0.093
AFG,2011,ldi,0.475,0.406,0.556,0.074
AFG,2011,pdi,0.276,0.222,0.343,0.06
AFG,2012,ddi,0.797,0.686,0.868,0.625
AFG,2012,edi,0.38,0.335,0.418,0.043
AFG,2012,egdi,0.481,0.397,0.584,0.093
AFG,2012,ldi,0.475,0.385,0.533,0.074
AFG,2012,pdi,0.276,0.222,0.343,0.06
AFG,2013,ddi,0.797,0.686,0.868,0.626
AFG,2013,edi,0.376,0.339,0.418,0.042
AFG,2013,egdi,0.449,0.348,0.535,0.094
AFG,2013,ldi,0.468,0.402,0.542,0.07
AFG,2013,pdi,0.3,0.249,0.363,0.059
AFG,2014,ddi,0.79,0.674,0.866,0.628
AFG,2014,edi,0.376,0.333,0.417,0.044
AFG,2014,egdi,0.45,0.356,0.545,0.093
AFG,2014,ldi,0.476,0.408,0.543,0.069
AFG,2014,pdi,0.3,0.249,0.363,0.059
AFG,2015,ddi,0.813,0.717,0.89,0.629
AFG,2015,edi,0.374,0.332,0.417,0.044
AFG,2015,egdi,0.47,0.363,0.548,0.094
AFG,2015,ldi,0.485,0.397,0.542,0.072
AFG,2015,pdi,0.318,0.266,0.379,0.057
AFG,2016,ddi,0.733,0.62,0.827,0.627
AFG,2016,edi,0.351,0.311,0.384,0.039
AFG,2016,egdi,0.418,0.326,0.51,0.092
AFG,2016,ldi,0.446,0.383,0.525,0.071
AFG,2016,pdi,0.298,0.245,0.357,0.058
AFG,2017,ddi,0.623,0.494,0.729,0.625
AFG,2017,edi,0.345,0.308,0.381,0.037
AFG,2017,egdi,0.401,0.313,0.5,0.092
AFG,2017,ldi,0.44,0.366,0.516,0.075
AFG,2017,pdi,0.277,0.222,0.335,0.057
AFG,2018,ddi,0.729,0.609,0.829,0.631
AFG,2018,edi,0.344,0.308,0.379,0.037
AFG,2018,egdi,0.361,0.261,0.451,0.093
AFG,2018,ldi,0.423,0.351,0.498,0.075
AFG,2018,pdi,0.342,0.285,0.415,0.065
AFG,2019,ddi,0.727,0.611,0.822,0.628
AFG,2019,edi,0.346,0.311,0.377,0.036
AFG,2019,egdi,0.374,0.278,0.468,0.094
AFG,2019,ldi,0.364,0.29,0.439,0.074
AFG,2019,pdi,0.253,0.207,0.317,0.056
AFG,2020,ddi,0.678,0.541,0.781,0.631
AFG,2020,edi,0.366,0.323,0.401,0.041
AFG,2020,egdi,0.254,0.169,0.337,0.086
AFG,2020,ldi,0.397,0.326,0.478,0.077
AFG,2020,pdi,0.285,0.241,0.34,0.053
AGO,1990,ddi,0.083,0.043,0.157,0.641
AGO,1990,edi,0.076,0.07,0.081,0.006
AGO,1990,egdi,0.199,0.112,0.268,0.078
AGO,1990,ldi,0.225,0.164,0.283,0.059
AGO,1990,pdi,0.062,0.023,0.09,0.041
AGO,1991,ddi,0.105,0.05,0.175,0.642
AGO,1991,edi,0.083,0.075,0.091,0.009
AGO,1991,egdi,0.2,0.113,0.27,0.079
AGO,1991,ldi,0.237,0.167,0.284,0.059
AGO,1991,pdi,0.126,0.063,0.175,0.057
AGO,1992,ddi,0.157,0.085,0.253,0.639
AGO,1992,edi,0.121,0.105,0.133,0.014
