country_code,metric_code,group,year,value,immediate_duty,immediate_duty_penalty,score_wrt_immediate_duty,global_best_penalty,score_wrt_global_best,immediate_duty_wrt_global_best,source_code
ABW,NetPrimEnrol,All,2010,98.91975,100,4.075231366,94.84451863,4.075231366,94.84451863,100, 
ABW,NetPrimEnrol,All,2014,99.23471,100,2.999108195,96.23560181,2.999108195,96.23560181,100, 
ABW,NetPrimEnrol,Female,2005,96.56223,100,13.25390893,83.30832107,13.25390893,83.30832107,100, 
ABW,NetPrimEnrol,Female,2009,97.70515,100,8.604714295,89.1004357,8.604714295,89.1004357,100, 
ABW,NetPrimEnrol,Male,2005,99.04493,100,3.9312926,95.1136374,3.9312926,95.1136374,100, 
ABW,NetPrimEnrol,Male,2009,94.12297,100,20.12133003,74.00163997,20.12133003,74.00163997,100, 
ABW,NetSecEnrol,All,2007,80.52762,100,3.027698587,77.49992141,3.027698587,77.49992141,100, 
ABW,NetSecEnrol,All,2008,74.48249,100,3.755893245,70.72659675,3.755893245,70.72659675,100, 
ABW,NetSecEnrol,All,2009,77.72432,100,2.154393573,75.56992643,2.154393573,75.56992643,100, 
ABW,NetSecEnrol,All,2011,76.94634,100,2.113782817,74.83255718,2.113782817,74.83255718,100, 
ABW,NetSecEnrol,Female,2007,81.79688,100,2.857265961,78.93961404,2.857265961,78.93961404,100, 
ABW,NetSecEnrol,Female,2008,77.85939,100,3.348167304,74.5112227,3.348167304,74.5112227,100, 
ABW,NetSecEnrol,Female,2009,80.97252,100,1.884065007,79.08845499,1.884065007,79.08845499,100, 
ABW,NetSecEnrol,Female,2011,80.68243,100,1.819980766,78.86244923,1.819980766,78.86244923,100, 
ABW,NetSecEnrol,Male,2007,79.25072,100,3.195110641,76.05560936,3.195110641,76.05560936,100, 
ABW,NetSecEnrol,Male,2008,71.15534,100,4.128252075,67.02708793,4.128252075,67.02708793,100, 
ABW,NetSecEnrol,Male,2009,74.57757,100,2.400675601,72.1768944,2.400675601,72.1768944,100, 
ABW,NetSecEnrol,Male,2011,73.36425,100,2.375999498,70.9882505,2.375999498,70.9882505,100, 
ABW,WaterInHome,All,2007,94.56697,100,8.272896631,86.29407337,8.272896631,86.29407337,100, 
ABW,WaterInHome,All,2008,94.81969,100,7.902024478,86.91766552,7.902024478,86.91766552,100, 
ABW,WaterInHome,All,2009,95.07228,100,6.905130263,88.16714974,6.905130263,88.16714974,100, 
ABW,WaterInHome,All,2010,95.32473,100,6.364822198,88.9599078,6.364822198,88.9599078,100, 
ABW,WaterInHome,All,2011,95.57704,100,6.19107269,89.38596731,6.19107269,89.38596731,100, 
ABW,WaterInHome,All,2012,95.82921,100,5.768059294,90.06115071,5.768059294,90.06115071,100, 
ABW,WaterInHome,All,2013,95.82921,100,5.935786409,89.89342359,5.935786409,89.89342359,100, 
ABW,WaterInHome,All,2014,95.82921,100,5.947777415,89.88143259,5.947777415,89.88143259,100, 
ABW,WaterInHome,All,2015,95.82921,100,5.900109355,89.92910065,5.900109355,89.92910065,100, 
ABW,WaterInHome,All,2016,95.82921,100,5.865843967,89.96336603,5.865843967,89.96336603,100, 
AFG,AdultSurvival,All,2007,73.53585,82.18548995,0,85.13436949,0,68.79979167,80.81318048, 
AFG,AdultSurvival,All,2008,74.0194,82.37272581,0,85.68967666,0,69.47138889,81.07323029, 
AFG,AdultSurvival,All,2009,74.50295,84.25156275,0,83.82014954,0,70.14298611,83.68272605, 
AFG,AdultSurvival,All,2010,74.9865,85.31384885,0,83.15658038,0,70.81458333,85.1581234, 
AFG,AdultSurvival,All,2011,75.47,85.05168302,0,84.30562018,0,71.48611111,84.7940042, 
AFG,AdultSurvival,All,2012,75.9536,85.8619449,0,83.98313386,0,72.15777778,85.91936792, 
