year,country_code,population,gdp_per_capita_2011ppp,gdp_per_capita_current_ppp,gdp_per_capita_current_usd
2007,ASM,58365.00000000000,,,8909.44915617236000
2008,ASM,57492.00000000000,,,9792.66680581646000
2009,ASM,56683.00000000000,,,11961.25822557030000
2010,ASM,56079.00000000000,,,10271.22452254850000
2011,ASM,55759.00000000000,,,10294.30226510520000
2012,ASM,55667.00000000000,,,11568.79300123950000
2013,ASM,55713.00000000000,,,11505.39371421390000
2014,ASM,55791.00000000000,,,11507.23234930370000
2015,ASM,55812.00000000000,,,11843.33118325810000
2016,ASM,55741.00000000000,,,11696.95556233290000
2017,ASM,55620.00000000000,,,10823.44480402730000
2018,ASM,55465.00000000000,,,11466.69070585050000
2006,ATG,82704.00000000000,24657.4651453771000,22634.0010020186000,13989.71566604330000
2007,ATG,84026.00000000000,26516.7409537933000,24994.5582233496000,15607.08986900880000
2008,ATG,85397.00000000000,26083.1677616184000,25064.1017670334000,16024.34555121420000
2009,ATG,86746.00000000000,22568.6265297858000,21852.2030821564000,14113.07726004660000
2010,ATG,88028.00000000000,20555.4142048045000,20134.8172469042000,13049.25705457350000
2011,ATG,89253.00000000000,19876.2153228796000,19876.2153228796000,12746.20502433570000
2012,ATG,90409.00000000000,20283.8975341342000,20672.9120615171000,13272.44132938260000
2013,ATG,91516.00000000000,19918.1316822880000,20656.3815752968000,12909.74417750060000
2014,ATG,92562.00000000000,20440.5405551225000,21599.1991356695000,13501.58092233670000
2015,ATG,93566.00000000000,20994.7258901414000,22422.0293895520000,14286.09315982930000
2016,ATG,94527.00000000000,21923.7960368902000,23670.3022557124000,15197.61745517350000
2017,ATG,95426.00000000000,22400.3795618565000,24644.5518830640000,15383.41518849980000
2018,ATG,96286.00000000000,23840.7298964163000,26868.1335238429000,16726.98080794790000
2006,AUS,20697900.00000000000,39470.9989595508000,34306.6523094004000,36044.92281084850000
2007,AUS,20827600.00000000000,40733.1388010281000,36560.4056480642000,40960.05449481990000
2008,AUS,21249200.00000000000,41385.3831705075000,37459.3076495070000,49601.65670821780000
2009,AUS,21691700.00000000000,41326.3919298816000,40300.3082316095000,42772.35916644980000
2010,AUS,22031750.00000000000,41529.7594995566000,39324.3689530042000,52022.12559618760000
2011,AUS,22340024.00000000000,41965.3584189919000,41965.3584189919000,62517.83374715030000
2012,AUS,22733465.00000000000,42854.8907793467000,42826.7895799960000,68012.14790059340000
2013,AUS,23128129.00000000000,43212.4471035512000,45902.0479483610000,68150.10704132150000
2014,AUS,23475686.00000000000,43651.1031328493000,46880.2206571585000,62510.79117056410000
2015,AUS,23815995.00000000000,43970.8037036566000,46276.1506853863000,56755.72171242490000
2016,AUS,24190907.00000000000,44488.7408277738000,47305.8800224297000,49971.13145612900000
2017,AUS,24601860.00000000000,44781.3227596879000,49628.8118138792000,54066.47126861170000
2018,AUS,24982688.00000000000,45377.7551430060000,51663.3650948449000,57373.68668412810000
2006,AUT,8268641.00000000000,42498.0074198338000,37623.0757580996000,40635.28181597240000
2007,AUT,8295487.00000000000,43939.4254382743000,39392.5405883999000,46855.77174520950000
2008,AUT,8321496.00000000000,44441.7880173077000,41316.2251766990000,51708.76575417580000
2009,AUT,8343323.00000000000,42656.8546897355000,40926.5237645676000,47963.17940232170000
2010,AUT,8363404.00000000000,43336.1980012617000,42006.0468807427000,46858.04327337170000
2011,AUT,8391643.00000000000,44452.7327457999000,44452.7327457999000,51374.95840669340000
2012,AUT,8429991.00000000000,44551.6181062599000,46457.3457770311000,48567.69528642000000
2013,AUT,8479823.00000000000,44301.1048287695000,47922.0491207455000,50716.70870628640000
2014,AUT,8546356.00000000000,44246.8932711527000,48799.7154676985000,51717.49594055150000
2015,AUT,8642699.00000000000,44197.5402025482000,49879.2664728545000,44178.04737774320000
2016,AUT,8736668.00000000000,44632.7261036249000,51809.5136270202000,45237.80509215430000
2017,AUT,8797566.00000000000,45421.4253996812000,53937.0663797317000,47431.63060760700000
2018,AUT,8840521.00000000000,46260.3823826199000,55454.6892932890000,51461.95478046770000
2006,AZE,8484550.00000000000,10882.2346703891000,9989.2064728304400,2473.08181863536000
2007,AZE,8581300.00000000000,13499.2683468612000,12724.3483373841000,3851.43786871172000
2008,AZE,8763400.00000000000,14618.8154247387000,14047.6601947982000,5574.60380218613000
2009,AZE,8947243.00000000000,15660.0023600548000,15162.8877985698000,4950.29479142375000
2010,AZE,9054332.00000000000,16215.8471997646000,15884.0447882908000,5842.80578358576000
2011,AZE,9173082.00000000000,15754.1523626148000,15754.1523626148000,7189.69122920765000
2012,AZE,9295784.00000000000,15888.6748721826000,16193.3956654000000,7496.29464768263000
2013,AZE,9416801.00000000000,16600.8799688925000,17216.1785348611000,7875.75695254288000
2014,AZE,9535079.00000000000,16853.5684691467000,17808.9018991483000,7891.31314749986000
2015,AZE,9649341.00000000000,16828.9901596414000,17973.0906671734000,5500.32049702735000
2016,AZE,9757812.00000000000,16131.9721279442000,17417.0866945965000,3880.73873089556000
2017,AZE,9854033.00000000000,15929.3996305909000,17525.2796310039000,4147.08971569171000
2018,AZE,9939800.00000000000,16010.9890363160000,18044.1367837983000,4721.17808673142000
2006,BDI,7607849.00000000000,706.7467009060950,648.7489870580220,167.37648450549200
2007,BDI,7862214.00000000000,707.4886957925300,666.8755949368830,172.49585992683700
2008,BDI,8126102.00000000000,717.7927117966470,689.7486432832680,198.35290055506300
2009,BDI,8397668.00000000000,721.0631403293750,698.1735533059290,212.13688039002500
2010,BDI,8675602.00000000000,733.7277228152650,718.7144691260730,234.23564687499900
2011,BDI,8958406.00000000000,739.2192549739080,739.2192549739080,249.57797936680100
2012,BDI,9245988.00000000000,748.0755205827370,762.4224795237600,252.35897985834400
2013,BDI,9540289.00000000000,760.6990696420620,788.8937826670020,256.97600279675400
2014,BDI,9844297.00000000000,768.4698369276540,812.0300435692860,274.85794791384600
2015,BDI,10160030.00000000000,715.5498861425400,764.1957632946560,305.54977279744100
2016,BDI,10487998.00000000000,689.0148916699990,743.9035975828740,282.19313040481400
2017,BDI,10827024.00000000000,670.7770724794430,737.9785828646670,292.99763068441500
2018,BDI,11175378.00000000000,660.3303410248280,744.1820720080710,271.75204437664800
2006,BEL,10547958.00000000000,40141.2061493839000,35222.6051497546000,38672.70594297670000
2007,BEL,10625700.00000000000,41312.6771475000000,36755.6563289744000,44262.89600099540000
2008,BEL,10709973.00000000000,41170.7826385585000,37883.3319417819000,48106.89291578800000
